NUM_BLOCK,NUM_THREAD,TIME_SECONDS,PI_VALUE
60,16,0.09118,3.141592653589794
60,32,0.04578,3.141592653589793
60,48,0.03049,3.141592653589794
60,64,0.02289,3.141592653589792
60,80,0.0182,3.141592653589793
60,96,0.01532,3.141592653589796
60,112,0.01315,3.141592653589795
60,128,0.01152,3.1415926535898
60,144,0.01073,3.141592653589793
60,160,0.00962,3.141592653589789
120,16,0.04564,3.141592653589793
120,32,0.0229,3.141592653589792
120,48,0.0152,3.141592653589796
120,64,0.01153,3.1415926535898
120,80,0.009259,3.141592653589789
120,96,0.007755,3.141592653589788
120,112,0.006671,3.141592653589794
120,128,0.00672,3.141592653589795
120,144,0.006711,3.141592653589794
120,160,0.006037,3.141592653589796
180,16,0.03047,3.141592653589794
180,32,0.01532,3.141592653589796
180,48,0.01027,3.141592653589793
180,64,0.007746,3.141592653589788
180,80,0.006524,3.141592653589795
180,96,0.006877,3.141592653589794
180,112,0.00504,3.141592653589796
180,128,0.00449,3.141592653589796
180,144,0.004329,3.141592653589803
180,160,0.004657,3.141592653589794
240,16,0.0229,3.141592653589792
240,32,0.01144,3.1415926535898
240,48,0.007684,3.141592653589788
240,64,0.006558,3.141592653589795
240,80,0.006095,3.141592653589796
240,96,0.004464,3.141592653589796
240,112,0.004121,3.141592653589791
240,128,0.004403,3.141592653589798
240,144,0.003629,3.141592653589796
240,160,0.003355,3.141592653589797
300,16,0.0182,3.141592653589793
300,32,0.009186,3.141592653589789
300,48,0.006469,3.141592653589795
300,64,0.005278,3.141592653589796
300,80,0.005236,3.141592653589791
300,96,0.003954,3.141592653589794
300,112,0.003697,3.141592653589792
300,128,0.003358,3.141592653589797
300,144,0.004192,3.141592653589798
300,160,0.003179,3.141592653589788
360,16,0.0152,3.141592653589796
360,32,0.007687,3.141592653589788
360,48,0.005765,3.141592653589794
360,64,0.004462,3.141592653589796
360,80,0.003971,3.141592653589794
360,96,0.004222,3.141592653589796
360,112,0.01007,3.141592653589794
360,128,0.003877,3.141592653589793
360,144,0.004337,3.141592653589798
360,160,0.003257,3.141592653589796
420,16,0.01306,3.141592653589795
420,32,0.006614,3.141592653589794
420,48,0.007136,3.141592653589796
420,64,0.004103,3.141592653589791
420,80,0.004979,3.141592653589792
420,96,0.004743,3.141592653589794
420,112,0.003217,3.141592653589751
420,128,0.004012,3.14159265358979
420,144,0.003313,3.141592653589798
420,160,0.004131,3.141592653589807
600,16,0.009608,3.141592653589789
600,32,0.008858,3.141592653589796
600,48,0.003968,3.141592653589794
600,64,0.003368,3.141592653589797
600,80,0.007335,3.141592653589788
600,96,0.003242,3.141592653589796
600,112,0.004333,3.141592653589807
600,128,0.003358,3.141592653589801
600,144,0.00463,3.1415926535898
600,160,0.003816,3.141592653589786
